name,category,is_score,joint_score,is_total_trades,is_winning_trades,is_losing_trades,is_win_rate,is_net_profit,is_profit_factor,is_expectancy,is_expectancy_dollar,is_expected_total_r,is_trades_per_month,is_max_drawdown_pct,is_sharpe,is_sortino,is_tail_loss_r,oos_total_trades,oos_winning_trades,oos_losing_trades,oos_win_rate,oos_net_profit,oos_profit_factor,oos_expectancy,oos_expectancy_dollar,oos_expected_total_r,oos_trades_per_month,oos_max_drawdown_pct,oos_sharpe,oos_sortino,oos_tail_loss_r
daily__cap090_sel30__stop2p35,daily_stop,1.0525893177134655,1.04521536279753,1192,689,503,0.5780201342281879,32402.90999999999,2.0374495249292095,0.21862293318894604,27.18364932885905,260.5985363612237,51.536221590909086,0.09804429258474148,4.833796804661043,6.193847318414997,-1.161267006519318,98,75,23,0.7653061224489796,2454.5600000000054,4.110305764284002,0.5101105836976364,25.046530612244954,49.99083720236837,49.71458333333334,0.016400987039626086,7.856816147596449,8.899821060955148,-1.0762007774605185
hard__cap0p95__sel30__flow8,hard_geometry_flow,1.0161619361413918,1.0435881751064147,1223,691,532,0.5650040883074408,29820.719999999987,1.9210040369393377,0.2050381510228249,24.383254292722803,250.76165870091486,52.87650923295454,0.09689608219347691,4.543218165749001,5.369075711366632,-1.1609789149180536,102,77,25,0.7549019607843137,2476.8600000000047,4.047092980341021,0.497447475329272,24.282941176470633,50.73964248358575,51.743750000000006,0.013014324315355045,8.149519662158315,11.094533371588302,-1.0651564261642192
daily__cap100_sel30_flow8__stop2p35,daily_stop,1.043164130539727,1.0416911989027862,1212,685,527,0.5651815181518152,31931.78999999999,1.9892591010298188,0.20853617053055024,26.346361386138607,252.74583868302688,52.40092329545454,0.09537677911787933,4.847846082966145,6.221694229129202,-1.173709594395544,101,76,25,0.7524752475247525,2435.690000000004,4.004873053862669,0.49074616877851807,24.115742574257467,49.565363046630324,51.23645833333334,0.01525480017129432,7.898089061860166,9.344298536848893,-1.0651564261642192
daily__cap085_sel30__stop2p35,daily_stop,1.0443299763750449,1.0409205053015513,1182,685,497,0.5795262267343486,32167.47999999998,2.0692056612177328,0.21433063908426406,27.214450084602355,253.33881539760011,51.10387073863636,0.09913658530063787,4.931378449009905,6.193085870046404,-1.1593715175033386,98,75,23,0.7653061224489796,2454.5600000000054,4.110305764284002,0.5101105836976364,25.046530612244954,49.99083720236837,49.71458333333334,0.016400987039626086,7.856816147596449,8.899821060955148,-1.0762007774605185
quality__cap0p9__floor0p7__sel30,quality_geometry,1.0222898930218949,1.0406286828884816,1217,701,516,0.5760065735414954,29279.169999999984,1.9968384888616817,0.2078276796379525,24.058479868529158,252.9262861193882,52.61709872159091,0.09628737831622111,4.644161989909639,5.489045454968072,-1.1628457139830815,102,77,25,0.7549019607843137,2338.410000000005,4.132959980707145,0.4981912265742608,22.925588235294164,50.8155051105746,51.743750000000006,0.013522177950371774,7.883100376388541,10.792289889698086,-1.0680803630687397
quality__cap0p9__floor0p6__sel30,quality_geometry,1.0080051253112976,1.0365457397502367,1221,698,523,0.5716625716625716,27830.809999999983,2.0003867714112658,0.2002540947769995,22.79345618345617,244.51024972271637,52.79003906249999,0.09401634725369497,4.6360930410748225,5.505153419508266,-1.1626047702808697,102,77,25,0.7549019607843137,2258.160000000005,4.183017591339659,0.4981912265742608,22.138823529411813,50.8155051105746,51.743750000000006,0.012083832367369913,7.854640243900711,11.32576502093793,-1.0680803630687397
daily__cap090_sel30__stop2p0,daily_stop,1.017788835961206,1.0276649419351278,1173,677,496,0.577152600170503,30203.219999999994,1.99819715729216,0.20946190336142978,25.748695652173907,245.69881264295714,50.71475497159091,0.09713752734833953,4.622236788738396,5.770549907547332,-1.1605829141059738,98,75,23,0.7653061224489796,2460.870000000005,4.121584595479116,0.5099369436465168,25.11091836734699,49.97382047735864,49.71458333333334,0.016391920211386423,7.880589712966195,8.963514777651028,-1.0762007774605185
hard__cap0p75__sel30__flow8,hard_geometry_flow,1.0379889431163325,1.0241632597675112,1179,678,501,0.5750636132315522,28975.349999999977,1.9761058244263687,0.2024148165116796,24.576208651399472,238.64706866727028,50.97416548295454,0.07645597924760587,4.8039433708378505,5.354459155198695,-1.1495569181546714,100,75,25,0.75,2322.440000000006,3.8184267372151215,0.48262852816778157,23.22440000000006,48.26285281677816,50.72916666666667,0.01546428117901022,7.73067737863665,9.172027567528874,-1.0651564261642192
hard__cap0p75__sel30,hard_geometry,1.0337713542371705,1.0240866807472406,1176,685,491,0.5824829931972789,29135.719999999976,1.984421288787976,0.20762946773677785,24.775272108843517,244.17225405845073,50.84446022727273,0.08257335138215387,4.765400675154299,5.268975483707968,-1.1492058384643913,99,75,24,0.7575757575757576,2356.7600000000066,3.952741305001515,0.4913720738900919,23.805656565656633,48.6458353151191,50.221875000000004,0.0162896423580202,7.68149542657508,8.84062359434937,-1.0762007774605185
hard__cap0p85__sel20__flow8,hard_geometry_flow,1.01444623849461,1.021410858779098,1164,665,499,0.5713058419243986,29683.85999999998,1.9951412712349368,0.20589942985507823,25.50159793814431,239.66693635131105,50.32563920454545,0.09314039732804491,4.651014492105671,5.317449653814066,-1.1608737019001931,98,74,24,0.7551020408163265,2325.180000000003,3.92689005815564,0.48849727484055755,23.726326530612276,47.87273293437464,49.71458333333334,0.013284061520019898,7.926024735649763,10.168852894917126,-1.0762007774605185
hard__cap0p9__sel20,hard_geometry,1.0139292885403823,1.0213270994410713,1188,684,504,0.5757575757575758,30037.97999999998,1.9777307179773276,0.20691813011222715,25.284494949494935,245.81873857332585,51.36328124999999,0.09811430282789181,4.555257455336739,5.294843342687746,-1.1645087059752124,97,74,23,0.7628865979381443,2341.3900000000044,4.033281513149381,0.49748160239912986,24.13804123711345,48.2557154327156,49.20729166666667,0.014215843204211298,7.866145862598572,9.641242996643758,-1.0762007774605185
hard__cap0p9__sel20__flow8,hard_geometry_flow,1.0124784845052666,1.0203876267046392,1181,670,511,0.56731583403895,29452.689999999988,1.9562959109988978,0.20319919779696335,24.938772226926325,239.97825259821371,51.060635653409086,0.09199301090406972,4.541236693703853,5.250590826880517,-1.164064690235619,98,74,24,0.7551020408163265,2325.180000000003,3.92689005815564,0.48849727484055755,23.726326530612276,47.87273293437464,49.71458333333334,0.013284061520019898,7.926024735649763,10.168852894917126,-1.0762007774605185
hard__cap0p85__sel20,hard_geometry,1.008357853750042,1.0184299533500942,1166,673,493,0.5771869639794168,30046.639999999978,2.0125642780620336,0.20627109715258068,25.768987993138918,240.51209927990908,50.41210937499999,0.09943525345059422,4.635831959118918,5.255520522113243,-1.1590738467122061,97,74,23,0.7628865979381443,2341.3900000000044,4.033281513149381,0.49748160239912986,24.13804123711345,48.2557154327156,49.20729166666667,0.014215843204211298,7.866145862598572,9.641242996643758,-1.0762007774605185
daily__cap075_sel20_flow8__stop2p35,daily_stop,1.052146535250984,1.0119422317278903,1124,652,472,0.5800711743772242,29968.59999999997,2.08847535143742,0.20978528063180488,26.66245551601421,235.79865543014867,48.59623579545454,0.07530083980898941,4.972448792829447,5.841597048145342,-1.1499425606316815,96,71,25,0.7395833333333334,2202.190000000005,3.7510181136789584,0.46848173416707745,22.939479166666718,44.97424648003943,48.7,0.01567291037548962,7.519776601608808,8.275681648269488,-1.0762007774605185
hard__cap0p75__sel20__flow8,hard_geometry_flow,1.0388388581735,1.0074725622757699,1145,663,482,0.5790393013100437,29073.22999999997,2.0251683123838338,0.20562858373038287,25.39146724890827,235.4447283712884,49.504172585227266,0.07601427424760894,4.807977231111289,5.337562930294406,-1.149566344651365,97,72,25,0.7422680412371134,2216.9500000000053,3.769456589631488,0.466390775539584,22.85515463917531,45.23990522733965,49.20729166666667,0.01565225156839514,7.604535080277,8.598093604570014,-1.0762007774605185
hard__cap0p75__sel20,hard_geometry,1.0276728041810834,1.00310562945584,1143,665,478,0.5818022747156606,29342.129999999972,2.0363534450422867,0.20419489981489752,25.67115485564302,233.39477048842787,49.41770241477273,0.08268173792432795,4.78723742770359,5.292515878049037,-1.1494220098752037,96,72,24,0.75,2242.730000000006,3.8948910574143047,0.4752384138091729,23.361770833333395,45.6228877256806,48.7,0.01649546394891652,7.56420265238528,8.264960531040488,-1.0762007774605185
hard__cap1p0__sel30,hard_geometry,0.8814618280352765,0.9755205132087563,1227,704,523,0.5737571312143439,30921.119999999988,1.935363349181299,0.21391026568576424,25.200586797066006,262.46789599643273,53.04944957386363,0.10015150923563335,4.67024103053143,5.567500086627611,-1.1725990470359244,102,78,24,0.7647058823529411,2500.050000000005,4.167747902992836,0.5035686695320737,24.51029411764711,51.36400429227152,51.743750000000006,0.01395737604481198,8.110044568879314,10.468467840938866,-1.0680803630687397
density__cap100_sel30__l12__t0p5__m0p5,failure_density,0.8773777825743542,0.9724045716967085,1248,713,535,0.5713141025641025,27408.04999999999,1.8904016578697647,0.20217362242960135,21.961578525641016,252.3126807921425,53.95738636363636,0.08085332590391944,4.607444540232834,5.549947442152614,-1.1745792414761125,102,78,24,0.7647058823529411,2497.750000000005,4.164833633207478,0.5035686695320737,24.487745098039266,51.36400429227152,51.743750000000006,0.014158680145289078,8.095973183607539,10.34573574166123,-1.0680803630687397
daily__cap125_sel30__stop2p35,daily_stop,0.9188476380072806,0.9670694005187583,1262,714,548,0.5657686212361331,34082.82000000001,1.9910176106239463,0.21360432781381816,27.00698890649763,269.56866170103854,54.56267755681818,0.10126996773294057,4.873669311735588,6.3003674487367896,-1.192771005412205,105,78,27,0.7428571428571429,2644.7100000000064,3.553252495607354,0.525451418104174,25.187714285714346,55.17239890093826,53.265625,0.021975298582961583,7.189956132295375,9.845640143238105,-1.1629190477845628
hard__cap0p95__sel30,hard_geometry,0.8607443827576239,0.964747441664377,1218,698,520,0.5730706075533661,30212.54999999999,1.9338696216617204,0.20789252004225148,24.805049261083735,253.2130894114623,52.66033380681818,0.1032279630706148,4.567089652021563,5.446814419026729,-1.1630736615392376,102,78,24,0.7647058823529411,2500.050000000005,4.167747902992836,0.5035686695320737,24.51029411764711,51.36400429227152,51.743750000000006,0.01395737604481198,8.110044568879314,10.468467840938866,-1.0680803630687397
daily__cap100_sel30__stop2p35,daily_stop,0.8973925715317,0.9645130547830117,1211,699,512,0.5772089182493807,32015.48999999999,1.9944823614486575,0.21936400418344187,26.43723369116432,265.6498090661481,52.357688210227266,0.10027831227265958,4.846151681135961,6.2254597876784485,-1.1723011550289277,98,75,23,0.7653061224489796,2454.5600000000054,4.110305764284002,0.5101105836976364,25.046530612244954,49.99083720236837,49.71458333333334,0.016400987039626086,7.856816147596449,8.899821060955148,-1.0762007774605185
control__previous_balanced_candidate,control,0.7107070051797295,0.8723411509654377,1302,721,581,0.553763440860215,31481.11,1.8811995647900968,0.19224772814778793,24.17903993855607,250.30654204841989,56.292080965909086,0.10774366548236533,4.572071524472987,5.3550185437973505,-1.193074790780761,107,79,28,0.7383177570093458,2662.2500000000055,3.518232295046307,0.5161463158416715,24.88084112149538,55.22765579505885,54.280208333333334,0.01890619016259268,7.382975654270761,11.85323925309624,-1.1629190477845628
control__balanced,control,0.7,0.844,1292,717,575,0.554953560371517,31031.81,1.8911238273991242,0.20528533415618738,24.01842879256966,265.2286517297941,55.85973011363636,0.11942598939286705,4.4757544420417155,5.196808039544418,-1.2153335621832333,109,77,32,0.7064220183486238,2611.150000000008,3.347164417916903,0.46349518162445863,23.955504587156035,50.52097479706599,55.29479166666667,0.01971434232772144,7.159142719742308,11.783213523723472,-1.1981414654159679
