category,is_expectancy,is_expectancy_dollar,is_expected_total_r,is_guardrail_pass,is_losing_trades,is_max_drawdown_pct,is_net_profit,is_profit_factor,is_sharpe,is_sortino,is_tail_loss_r,is_total_trades,is_trades_per_month,is_utility,is_win_rate,is_winning_trades,name,neg_is_drawdown,neg_oos_drawdown,oos_expectancy,oos_expectancy_dollar,oos_expected_total_r,oos_losing_trades,oos_max_drawdown_pct,oos_net_profit,oos_profit_factor,oos_sharpe,oos_sortino,oos_tail_loss_r,oos_total_trades,oos_trades_per_month,oos_utility,oos_win_rate,oos_winning_trades,patch,robust_score,strict_oos_uplift
rvol_time,0.12325970233325749,14.729926096997682,266.8572555515025,True,923,0.04330831417588329,31890.289999999983,1.7406986148202475,5.281616029801872,7.151651180369048,-1.0774027178762289,2165,93.60395951704545,0.40289502119476106,0.5736720554272517,1242,r110__entry1315,,,0.3057099966146466,15.106074074074048,41.27084954297729,57,0.013869674370221118,2039.3199999999965,2.4238675082388395,5.661550635277951,8.545193811913402,-0.9853238420494345,135,68.484375,0.05290531194336047,0.5777777777777777,78,"{""param_overrides.entry_window_end"": ""13:15:00"", ""param_overrides.rvol_threshold"": 1.1}",0.17540171018135067,False
incumbent,0.1192292665178079,14.096977898060436,264.3312838699801,True,954,0.044580887434052766,31252.999999999985,1.7066443516612113,5.184769238244639,7.049321409890108,-1.07670829270507,2217,95.85218394886363,0.38716932240588947,0.5696887686062246,1263,control__rvol110_entry1330,,,0.30115355514087017,14.838905109489025,41.258037054299216,58,0.013876937550912703,2032.9299999999964,2.3999352688408964,5.700371226560958,8.515192372068439,-0.9853238420494345,137,69.49895833333333,0.053090388722300055,0.5766423357664233,79,"{""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.rvol_threshold"": 1.1}",0.17001801551155635,False
late_quality,0.12809137625633707,15.038623226484496,243.75788901580944,True,803,0.04254469768080364,28618.499999999996,1.759324298616349,5.211296886661886,7.006335516480303,-1.0765205408455356,1903,82.2763671875,0.3042762386244781,0.5780346820809249,1100,r110__entry1330_late_rvol_add0p1,-0.04254469768080364,-0.01389955822923222,0.3633578654979974,20.44539823008847,41.05943880127371,41,0.01389955822923222,2310.3299999999967,3.1448345649671343,6.196917855861442,12.08010983337572,-0.957824803370837,113,57.32395833333334,0.09023674206519713,0.6371681415929203,72,"{""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.orb_late_rvol_add_per_30m"": 0.1, ""param_overrides.orb_time_decay_start"": ""10:30:00"", ""param_overrides.rvol_threshold"": 1.1}",0.16515056586094548,True
rvol_time_exit,0.11036904725889783,13.19680888888888,248.33035633252013,True,1068,0.041036310015474586,29692.819999999978,1.7086015195422033,5.0920923096284145,6.92240472200732,-1.077327412082134,2250,97.27894176136363,0.33883379437272765,0.5253333333333333,1182,r110__entry1330_failure_m0p1,,,0.29355847946149055,15.813021582733782,40.80462864514719,66,0.0140257510590849,2198.0099999999957,2.5769343903576374,5.789042160813749,9.980912399768703,-0.9853238420494347,139,70.51354166666667,0.0712898164452693,0.5251798561151079,73,"{""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.failure_stop_to_r"": -0.1, ""param_overrides.rvol_threshold"": 1.1}",0.1649302087198797,False
rvol_trail,0.13911134282682638,15.606960043196546,257.63420691528245,True,805,0.043571357359298964,28904.090000000004,1.7771468871336398,5.27411633931803,6.536839513214302,-1.0796838702897364,1852,80.07137784090908,0.3346521788704365,0.5653347732181425,1047,r110__trail_start30,-0.043571357359298964,-0.013697123143066307,0.3924200249949528,20.886857142857146,41.204102624470046,42,0.013697123143066307,2193.1200000000003,2.993926720610967,6.042738494565771,9.39353630576678,-1.0502663874012037,105,53.265625,0.06817497569684121,0.6,63,"{""param_overrides.adaptive_trail_start_bars"": 30, ""param_overrides.rvol_threshold"": 1.1}",0.16144199680759955,True
rvol_trail,0.1311954065310204,14.406941798941792,247.95931834362858,True,897,0.04122821625844958,27229.119999999988,1.7763325810200354,5.1089299243214015,6.465490162190766,-1.0797406590320073,1890,81.71431107954545,0.29405723404853906,0.5253968253968254,993,r110__trail30_failure_m010,-0.04122821625844958,-0.013972353228691049,0.389953614199414,20.78972222222221,42.11499033353671,47,0.013972353228691049,2245.2899999999986,3.115762989766492,6.117699482709406,9.688801170383712,-1.0502663874012037,108,54.7875,0.08510079517358389,0.5648148148148148,61,"{""param_overrides.adaptive_trail_start_bars"": 30, ""param_overrides.failure_stop_to_r"": -0.1, ""param_overrides.rvol_threshold"": 1.1}",0.15823554877981819,True
simplification,0.11445653975133183,13.014570590699611,273.2077603864291,True,1031,0.04353810578789062,31065.779999999973,1.665067604410208,5.073379207614759,6.740027328969771,-1.0714820892938874,2387,103.20214843749999,0.4106326913359061,0.5680770842061165,1356,r110__entry1330_combined_quality_off,,,0.23643109543250138,14.229333333333313,35.46466431487521,65,0.01376249316264256,2134.399999999997,2.3292727736985332,6.651679166139688,9.995402679995209,-0.9594536937899166,150,76.09375,0.0213159363832948,0.5666666666666667,85,"{""ablation.use_combined_quality_gate"": false, ""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.rvol_threshold"": 1.1}",0.15757680061670873,False
rvol_fine,0.12343493836426603,13.699397371998181,272.4209089699351,True,951,0.03410217484421644,30234.569999999985,1.7053638980594101,5.204299221222646,6.365333747579422,-1.0949248262656481,2207,95.4198330965909,0.40854779775472844,0.5690983235160851,1256,rvol_fine__0p9,,,0.27153761374157903,16.424393939393926,35.84296501388843,54,0.015400126554213727,2168.019999999998,2.724386965409179,6.605490458064594,9.29878561725792,-0.9630272087267652,132,66.9625,0.014858347100883646,0.5909090909090909,78,"{""param_overrides.rvol_threshold"": 0.9}",0.15264965482972934,False
late_quality,0.12326498965591311,14.195657507360155,251.2140489187509,True,867,0.04350307016643159,28930.749999999996,1.7236645945332092,5.189545907481699,6.981138799482163,-1.0740809995020082,2038,88.11310369318181,0.32491548873019316,0.5745829244357213,1171,r110__entry1330_late_rvol_add0p05,-0.04350307016643159,-0.013699383758305763,0.3308630329729278,18.25899999999997,39.70356395675134,46,0.013699383758305763,2191.0799999999963,2.8874464841024383,6.033245431002851,10.598611875502845,-0.9228875759505177,120,60.875,0.05937480483360025,0.6166666666666667,74,"{""param_overrides.entry_window_end"": ""13:30:00"", ""param_overrides.orb_late_rvol_add_per_30m"": 0.05, ""param_overrides.orb_time_decay_start"": ""10:30:00"", ""param_overrides.rvol_threshold"": 1.1}",0.15231404419740777,True
rvol_route,0.12736011778649647,13.517628171931646,245.9323874457247,True,832,0.03019314581359355,26102.540000000008,1.7180259234400266,5.071971258010147,6.445483031693667,-1.0873479101051835,1931,83.48694957386363,0.295846835650687,0.569135163127913,1099,r100__or_floor120,-0.03019314581359355,-0.014519544706668839,0.35404755610110866,20.05867256637166,40.00737383942528,45,0.014519544706668839,2266.6299999999974,3.130711888624634,6.499039161212714,12.26243421161311,-0.9526868479410538,113,57.32395833333334,0.06887246930059442,0.6017699115044248,68,"{""ablation.use_or_quality_gate"": true, ""param_overrides.or_breakout_min_rvol"": 1.2, ""param_overrides.rvol_threshold"": 1.0}",0.1483134975231268,True
