window_start,window_end,trades,pnl_dollars,net_return_pct_on_initial,avg_r,win_rate,excellent_trades,excellent_rate,low_mfe_loss_rate,right_then_lost_rate,qqq_trades,qqq_pnl_dollars,qqq_avg_r,qqq_excellent_trades,gld_trades,gld_pnl_dollars,gld_avg_r,gld_excellent_trades
2024-04-01,2024-10-01,9,24224.81999999989,24.22481999999989,1.5083545022045255,0.7777777777777778,7,0.7777777777777778,0.2222222222222222,0.0,0,0.0,0.0,0,9,24224.81999999989,1.5083545022045255,7
2024-05-01,2024-11-01,8,13392.699999999903,13.392699999999902,1.0255788684014167,0.75,6,0.75,0.25,0.0,0,0.0,0.0,0,8,13392.699999999903,1.0255788684014167,6
2024-06-01,2024-12-01,8,6115.939999999886,6.115939999999886,0.7050786532671953,0.75,5,0.625,0.25,0.0,0,0.0,0.0,0,8,6115.939999999886,0.7050786532671953,5
2024-07-01,2025-01-01,6,9272.680000000106,9.272680000000106,0.6814885159264749,0.8333333333333334,4,0.6666666666666666,0.16666666666666666,0.0,1,3450.690000000201,0.8514595542097619,1,5,5821.989999999906,0.6474943082698177,3
2024-08-01,2025-02-01,8,10496.860000000212,10.496860000000211,0.6001165707166329,0.75,5,0.625,0.25,0.0,3,4674.870000000306,0.5211536747946585,2,5,5821.989999999906,0.6474943082698177,3
2024-09-01,2025-03-01,7,8718.570000000247,8.718570000000248,0.5913523001450586,0.7142857142857143,4,0.5714285714285714,0.2857142857142857,0.0,3,4674.870000000306,0.5211536747946585,2,4,4043.6999999999402,0.6440012691578587,2
2024-10-01,2025-04-01,9,14272.750000000196,14.272750000000197,0.5013475357622004,0.7777777777777778,6,0.6666666666666666,0.2222222222222222,0.0,4,9631.83000000033,0.6757614377956395,3,5,4640.919999999866,0.3618164141354493,3
2024-11-01,2025-05-01,12,36582.12999999997,36.58212999999997,0.6889563098113758,0.6666666666666666,7,0.5833333333333334,0.3333333333333333,0.0,5,6337.770000000319,0.33852433793627534,3,7,30244.35999999965,0.9392648611507332,4
2024-12-01,2025-06-01,12,37843.83999999992,37.843839999999915,0.6899825296828156,0.6666666666666666,8,0.6666666666666666,0.3333333333333333,0.0,5,6337.770000000319,0.33852433793627534,3,7,31506.0699999996,0.9410240952160586,5
2025-01-01,2025-07-01,13,32593.879999999426,32.59387999999942,0.5756047971426833,0.6153846153846154,8,0.6153846153846154,0.38461538461538464,0.0,4,2887.0800000001177,0.2102905338679037,2,9,29706.799999999315,0.7379666919314745,6
2025-02-01,2025-08-01,12,28411.96999999931,28.411969999999307,0.47619481908136135,0.5833333333333334,7,0.5833333333333334,0.4166666666666667,0.0,2,1662.9000000000128,0.06458033264870067,1,10,26749.0699999993,0.5585177163678934,6
2025-03-01,2025-09-01,14,31050.079999999387,31.050079999999387,0.41417230238299607,0.5714285714285714,8,0.5714285714285714,0.42857142857142855,0.0,2,1662.9000000000128,0.06458033264870067,1,12,29387.17999999938,0.47243763067204525,7
2025-04-01,2025-10-01,9,22401.199999999488,22.401199999999488,0.3899710456848387,0.4444444444444444,4,0.4444444444444444,0.5555555555555556,0.0,1,-3294.06000000001,-1.010424061501181,0,8,25695.259999999507,0.5650204340830912,4
2025-05-01,2025-11-01,9,-2346.0700000004836,-2.3460700000004833,-0.08454872294408805,0.4444444444444444,4,0.4444444444444444,0.3333333333333333,0.2222222222222222,0,0.0,0.0,0,9,-2346.0700000004836,-0.08454872294408805,4
OOS,OOS,10,3577.7899999999277,3.577789999999928,0.3834032182873563,0.5,5,0.5,0.4,0.1,2,-5101.310000000042,-1.023500170278813,0,8,8679.09999999997,0.7351290654288986,5
