name,category,is_expected_total_r,is_net_profit,is_trades_per_month,is_profit_factor,is_max_drawdown_pct,oos_expected_total_r,oos_net_profit,oos_trades_per_month,oos_profit_factor,oos_max_drawdown_pct,is_guardrail,oos_floor,strict_joint_uplift,preliminary_score,early_expected_total_r,early_trades_per_month,early_r_ratio,late_expected_total_r,late_trades_per_month,late_r_ratio,segment_floor,stress_expected_total_r,stress_profit_factor,stress_max_drawdown_pct,stress_r_delta,stress_dd_ratio,both_is_halves_90pct,stress_improved,validation_score
exit__flow_hold_8,exit_logic,256.93533728733786,31224.0,56.07590553977272,1.8906063619140852,0.11373067977859715,52.28760098895056,2697.700000000007,56.309375,3.5009734299964923,0.01889447597278253,True,True,False,1.0171078427096245,61.053186227524776,48.16483516483517,0.923131725938435,190.42888945732744,63.92772861356933,0.9587242064427299,0.923131725938435,-17.012242886435203,0.5353691919654778,0.1166069999999998,0.5487326065493505,0.9478394459617677,True,True,1.2254631161845004
quality__size_floor_0p7__risk_0p00737,quality_risk_restore,244.56731356521388,30538.859999999993,55.90296519886363,1.9048545749009922,0.11824942828511159,50.5598394515088,2640.750000000007,55.29479166666667,3.4280302682027726,0.019259794372992176,True,True,False,0.9926410693931478,57.7908242806256,48.24845467032967,0.8738044098594063,188.22698501052483,64.19708702064898,0.9476386033105613,0.8738044098594063,-16.498906527467298,0.531372588956555,0.11504100000000035,1.0620689655172555,0.9351102223956387,False,True,1.213576419658277
combo_balanced__geom125__selection30__flow8,balanced_geometry_combination,250.30654204841989,31481.11,56.292080965909086,1.8811995647900968,0.10774366548236533,55.22765579505885,2662.2500000000055,54.280208333333334,3.518232295046307,0.01890619016259268,True,True,False,1.0218167429258531,63.11701548972331,46.99416208791209,0.9543370796075389,186.47309738226437,65.45409292035399,0.9388085642897722,0.9388085642897722,-17.50766515074449,0.5313121023362999,0.11226200000000044,0.05331034224006359,0.9125211340876669,True,True,1.2124872952392984
combo_balanced__geom125__selection30__flow8__mfeoff,balanced_geometry_combination,251.25756197709123,31465.050000000003,56.24884588068181,1.880367322294228,0.10774366548236533,55.22765579505885,2662.2500000000055,54.280208333333334,3.518232295046307,0.01890619016259268,True,True,False,1.0221871723543734,63.11701548972331,46.99416208791209,0.9543370796075389,185.92113288836083,65.5438790560472,0.9360296701686635,0.9360296701686635,-17.50766515074449,0.5313121023362999,0.11226200000000044,0.05331034224006359,0.9125211340876669,True,True,1.2124408905496524
combo_balanced__geom125__selection30,balanced_geometry_combination,254.83915133801,31713.76,56.03267045454545,1.8911448518952916,0.11381728529243798,56.82135190380709,2686.6100000000065,54.7875,3.5937035392249705,0.019785000563735545,True,True,False,1.0374380298991621,62.576839608454534,46.99416208791209,0.9461695534815863,190.80344255269546,64.9153761061947,0.9606099135964643,0.9461695534815863,-18.05639775729384,0.5203024454337343,0.11755900000000019,-0.49542226430928693,0.9555777734425878,True,False,1.2075770680288518
combo_balanced__geom125__selection30__mfeoff,balanced_geometry_combination,254.6715271988848,31674.12,56.03267045454545,1.889529823737612,0.11381728529243798,56.82135190380709,2686.6100000000065,54.7875,3.5937035392249705,0.019785000563735545,True,True,False,1.037174803881434,62.576839608454534,46.99416208791209,0.9461695534815863,191.6691172849409,64.82558997050148,0.9649681983245572,0.9461695534815863,-18.05639775729384,0.5203024454337343,0.11755900000000019,-0.49542226430928693,0.9555777734425878,True,False,1.2075317562475283
exit__mfe_conviction_off,exit_logic,266.39625894736247,31202.24,55.816495028409086,1.8973657017514343,0.11942598939286705,50.52097479706599,2611.150000000008,55.29479166666667,3.347164417916903,0.01971434232772144,True,True,False,1.0012874704668462,66.13702520673253,47.830357142857146,1.0,197.96325040301684,63.29922566371682,0.9966563407911153,0.9966563407911153,-17.560975492984554,0.5208674113193437,0.12302399999999925,0.0,1.0,True,False,1.2007859215855134
control__balanced_rvol170_or9_trail004,control,265.2286517297941,31031.81,55.85973011363636,1.8911238273991242,0.11942598939286705,50.52097479706599,2611.150000000008,55.29479166666667,3.347164417916903,0.01971434232772144,True,True,True,1.0,66.13702520673253,47.830357142857146,1.0,198.6273927138011,63.29922566371682,1.0,1.0,-17.560975492984554,0.5208674113193437,0.12302399999999925,0.0,1.0,True,False,1.2000000000000002
capacity__max_positions_7,capacity,266.83061448409126,30703.46,56.33531605113636,1.8762890628902005,0.11936883024865809,50.21807709189291,2602.4700000000075,55.802083333333336,3.3218303639137616,0.019729031626711562,True,True,False,0.9984051496883957,65.66383606594579,47.99759615384615,0.9928453216740905,195.47558016938854,63.65837020648968,0.9841320348550617,0.9841320348550617,-17.560975492984554,0.5208674113193437,0.12302399999999925,0.0,1.0,True,False,1.1956672210003594
combo_balanced__geom125__flow8,balanced_geometry_combination,256.1637106606279,31004.569999999992,55.03826349431818,1.9040991353129018,0.10885578771059365,53.585635485263744,2569.910000000005,54.7875,3.4711148291313365,0.018911365656267883,True,True,False,1.0091291241995648,64.46771120786404,47.245020604395606,0.9747597659004089,179.44115252986978,62.31157817109145,0.9034058700474589,0.9034058700474589,-17.50766515074449,0.5313121023362999,0.11226200000000044,0.05331034224006359,0.9125211340876669,True,True,1.1955104066913065
