name,group,eligible,oos_trades,oos_pf,oos_avg_r,oos_net_r,oos_trades_delta,oos_net_r_delta,is_trades,is_pf,is_avg_r,is_net_r,is_trades_delta,is_net_r_delta,patch
sweep_max_positions_12,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_max_positions"": 12}"
sweep_open_slots_1,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_open_scored_max_slots"": 1}"
sweep_open_slots_2,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_open_scored_max_slots"": 2}"
sweep_open_slots_3,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_open_scored_max_slots"": 3}"
sweep_open_slots_6,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_open_scored_max_slots"": 6}"
sweep_rsi_exit_open_50p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_rsi_exit_open_scored"": 50.0}"
sweep_rsi_exit_open_55p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_rsi_exit_open_scored"": 55.0}"
sweep_rsi_exit_open_65p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_rsi_exit_open_scored"": 65.0}"
sweep_rsi_exit_open_70p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_rsi_exit_open_scored"": 70.0}"
sweep_open_max_hold_1,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_open_scored_max_hold_days"": 1}"
sweep_sma_min_neg10p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_sma_dist_min_pct"": -10.0}"
sweep_sma_max_25p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_v2_sma_dist_max_pct"": 25.0}"
sweep_rank_pct_max_100p0,single_perturbation,False,12,0.449,-0.144,-1.725,0,0.000,955,1.706,0.108,102.933,0,0.000,"{""param_overrides.pb_entry_rank_pct_max"": 100.0}"
