[alpha-repair] evaluating round4 and round5 baselines
[alpha-repair] running full cohort diagnostics
[alpha-repair] round5 IS=164 +78.90R PF=2.08; OOS=7 +6.36R PF=3.11; evaluating 893 candidates
[alpha-repair] 45/893 native_targeted/target_score_context_full score=-1.674 IS=131 +57.7R PF=1.95 OOS=1 +1.4R PF=inf strict=False repair=False
[alpha-repair] 46/893 native_targeted/target_wide_box_context score=-1.637 IS=134 +58.6R PF=1.93 OOS=1 +1.4R PF=inf strict=False repair=False
[alpha-repair] 47/893 native_targeted/target_score_1.25_with_context score=+0.013 IS=136 +56.9R PF=1.91 OOS=2 +5.0R PF=inf strict=False repair=False
[alpha-repair] 48/893 native_targeted/target_rvol_1.35_with_context score=-1.284 IS=132 +60.3R PF=1.99 OOS=1 +1.4R PF=inf strict=False repair=False
[alpha-repair] 49/893 native_targeted/target_score_1.25_rvol_1.35_context score=+0.538 IS=135 +60.2R PF=1.96 OOS=2 +5.0R PF=inf strict=False repair=False
[alpha-repair] 50/893 native_targeted/target_max_box_300 score=-6.497 IS=133 +59.7R PF=2.01 OOS=2 +0.4R PF=1.42 strict=False repair=False
[alpha-repair] 51/893 native_targeted/target_max_box_350_context score=-1.160 IS=125 +59.5R PF=2.06 OOS=1 +1.4R PF=inf strict=False repair=False
[alpha-repair] 52/893 native_targeted/target_aligned_recovery_score_3_context score=-9.106 IS=133 +53.5R PF=1.82 OOS=5 -1.3R PF=0.58 strict=False repair=False
[alpha-repair] 53/893 native_targeted/target_neutral_recovery_score_3_context score=-8.004 IS=111 +52.2R PF=1.99 OOS=2 -0.0R PF=0.99 strict=False repair=False
[alpha-repair] 54/893 native_targeted/target_aligned_recovery_score_3_25_context score=-7.656 IS=95 +56.4R PF=2.26 OOS=1 -1.0R PF=0.00 strict=False repair=False
[alpha-repair] 55/893 native_targeted/target_b_range_p90 score=+1.217 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 56/893 native_targeted/target_b_range_p85 score=+1.217 IS=164 +78.9R PF=2.08 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 57/893 native_targeted/target_b_range_context_p85 score=-1.674 IS=131 +57.7R PF=1.95 OOS=1 +1.4R PF=inf strict=False repair=False
[alpha-repair] 58/893 native_targeted/target_a_latch_only_stop_175 score=-1.872 IS=129 +58.7R PF=1.96 OOS=7 +5.6R PF=2.85 strict=False repair=False
[alpha-repair] 59/893 native_targeted/target_a_latch_only_context_stop_175 score=-3.698 IS=95 +40.2R PF=1.88 OOS=1 +1.4R PF=inf strict=False repair=False
[alpha-repair] 60/893 native_targeted/target_a_latch_tight_offset score=-1.872 IS=129 +58.7R PF=1.96 OOS=7 +5.6R PF=2.85 strict=False repair=False
[alpha-repair] 61/893 native_targeted/target_c_cont_mfe_0.50 score=-2.074 IS=167 +77.1R PF=2.02 OOS=6 +3.2R PF=2.06 strict=False repair=False
[alpha-repair] 62/893 native_targeted/target_c_cont_mfe_0.75 score=-0.085 IS=166 +75.5R PF=2.00 OOS=7 +5.6R PF=2.85 strict=False repair=False
[alpha-repair] 63/893 native_targeted/target_c_cont_context_mfe_0.50 score=-1.233 IS=136 +61.5R PF=1.97 OOS=1 +1.4R PF=inf strict=False repair=False
[alpha-repair] 64/893 native_targeted/target_c_standard_tighter_offset score=-1.635 IS=160 +68.0R PF=1.90 OOS=7 +5.4R PF=2.79 strict=False repair=False
[alpha-repair] 65/893 native_targeted/target_c_hold_2_bars score=-7.969 IS=155 +66.0R PF=1.89 OOS=8 -2.2R PF=0.64 strict=False repair=False
[alpha-repair] 66/893 native_targeted/target_cooldown_15 score=-3.134 IS=171 +68.3R PF=1.85 OOS=8 +3.7R PF=1.92 strict=False repair=False
[alpha-repair] 67/893 native_targeted/target_cooldown_10_with_context score=-4.324 IS=145 +42.2R PF=1.52 OOS=1 +1.9R PF=inf strict=False repair=False
[alpha-repair] 68/893 native_targeted/target_cooldown_0_mfe score=-5.893 IS=177 +54.1R PF=1.57 OOS=8 +3.1R PF=1.76 strict=False repair=False
[alpha-repair] 69/893 native_targeted/target_loss_streak_3 score=+0.273 IS=169 +73.8R PF=1.94 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 70/893 native_targeted/target_loss_streak_3_skip_3 score=+0.720 IS=172 +77.2R PF=1.97 OOS=7 +6.4R PF=3.11 strict=False repair=False
[alpha-repair] 71/893 native_targeted/target_allow_05_context score=-1.551 IS=143 +60.3R PF=1.92 OOS=1 +1.9R PF=inf strict=False repair=False
[alpha-repair] 72/893 native_targeted/target_allow_09_context score=-3.658 IS=149 +45.9R PF=1.62 OOS=1 +1.9R PF=inf strict=False repair=False
[alpha-repair] 73/893 native_targeted/target_allow_05_09_context score=-3.726 IS=159 +48.2R PF=1.63 OOS=1 +1.9R PF=inf strict=False repair=False
[alpha-repair] 74/893 native_targeted/target_b_range_cooldown_15 score=-3.134 IS=171 +68.3R PF=1.85 OOS=8 +3.7R PF=1.92 strict=False repair=False
[alpha-repair] 75/893 native_targeted/target_exit_entry_combo score=-1.531 IS=178 +77.9R PF=2.10 OOS=7 +3.4R PF=2.12 strict=False repair=False
