cohort,split,trades,pnl_dollars,total_r,avg_r,median_r,win_rate,profit_factor_r,avg_mfe_r,avg_mae_r,excellent_trades,excellent_rate,never_worked_rate,low_mfe_loss_rate,right_then_lost_rate,top1_win_r_share,top5_win_r_share,symbol,direction,grade,entry_hour_et,entry_model,exit_reason,month
split_symbol_hour,train,8,22128.950000000088,0.31133361287086614,0.03891670160885827,-0.3414474188920178,0.5,1.0646684416624337,1.4463590651502538,1.1144749646667997,3,0.375,0.5,0.5,0.0,0.40625936947898406,1.0,GLD,,,15,,,
split_symbol_hour,train,3,19972.22000000008,1.3346917063373054,0.4448972354457685,0.5963602425953152,0.6666666666666666,2.0513969130796434,1.7705507854057771,0.6926903161446615,2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.770995128549132,1.0,GLD,,,16,,,
split_symbol_hour,train,26,61836.429999999236,25.21471284768128,0.9697966479877416,-1.0374055448350323,0.38461538461538464,2.0253004755481916,4.800391547482386,1.5964922421619776,8,0.3076923076923077,0.38461538461538464,0.46153846153846156,0.15384615384615385,0.5965108306960308,0.8831757640104271,GLD,,,8,,,
split_symbol_hour,train,22,-21423.190000003444,10.283092671170609,0.46741330323502767,0.9361991957309946,0.5454545454545454,1.8268511414533037,2.7588569665329903,0.9744847544826168,12,0.5454545454545454,0.2727272727272727,0.36363636363636365,0.09090909090909091,0.13789387832436098,0.5744813951315039,GLD,,,9,,,
split_symbol_hour,train,11,-16460.10499999916,2.6268662199481154,0.23880601999528323,0.728779419660667,0.6363636363636364,1.644106584798568,1.4987222598603245,0.6210488196996835,7,0.6363636363636364,0.18181818181818182,0.36363636363636365,0.0,0.21216710556398047,0.786727518129504,QQQ,,,10,,,
split_symbol_hour,train,8,81669.71000000082,5.394998034472989,0.6743747543091236,1.0132231824482467,0.75,3.6412388636872706,2.150440298845011,0.6145511542615556,6,0.75,0.0,0.25,0.0,0.2271866761388005,0.8963569817166669,QQQ,,,11,,,
split_symbol_hour,train,6,41950.580000000526,2.7014062685463767,0.45023437809106276,0.7903131343036858,0.8333333333333334,3.6498972038023787,1.3956535867519821,0.346978648658161,5,0.8333333333333334,0.0,0.16666666666666666,0.0,0.25542665583943036,0.9999999999999999,QQQ,,,12,,,
split_symbol_hour,train,2,11490.919999999998,4.241270487363181,2.1206352436815905,2.1206352436815905,1.0,4.241270487363181,4.506614050869413,0.4364817517052573,2,1.0,0.0,0.0,0.0,0.6252076733131128,1.0,QQQ,,,14,,,
split_symbol_hour,train,3,38818.02000000016,4.275124889962736,1.4250416299875788,1.4889613224709337,1.0,4.275124889962736,3.3631910547202533,0.29728459311233235,3,1.0,0.0,0.0,0.0,0.47835434047812275,1.0,QQQ,,,15,,,
split_symbol_entry_model,oos,9,10692.669999999993,6.442463391652568,0.7158292657391743,0.8185443480826846,0.6666666666666666,3.054552996563733,2.408814584500664,0.7864580278410583,6,0.6666666666666666,0.0,0.2222222222222222,0.1111111111111111,0.23918564256336378,0.9259772675602239,GLD,,,,confirmation_close,,
split_symbol_entry_model,oos,1,305.0700000000222,0.16819578516427353,0.16819578516427353,0.16819578516427353,1.0,0.16819578516427353,1.9269325565366606,3.5579691025191034,0,0.0,0.0,0.0,0.0,1.0,1.0,QQQ,,,,structure_stop,,
split_symbol_entry_model,train,97,312416.8299999942,61.19648139818262,0.6308915608060064,0.27810014967837754,0.5257731958762887,2.0291953907910587,3.1335002854696685,1.0771353697585857,47,0.4845360824742268,0.30927835051546393,0.38144329896907214,0.09278350515463918,0.24623975992522476,0.43054044320355095,GLD,,,,confirmation_close,,
split_symbol_entry_model,train,30,157469.12500000233,19.239665900293396,0.6413221966764465,0.8086014318412766,0.7666666666666667,3.694499255721277,2.0388730011878375,0.5198211808495147,23,0.7666666666666667,0.06666666666666667,0.23333333333333334,0.0,0.10051832162333066,0.3660995812051402,QQQ,,,,structure_stop,,
split_symbol_exit_reason,oos,1,1341.900000000041,0.8185443480826846,0.8185443480826846,0.8185443480826846,1.0,0.8185443480826846,2.4166547419583457,0.0,1,1.0,0.0,0.0,0.0,1.0,1.0,GLD,,,,,MFE_GIVEBACK,
split_symbol_exit_reason,oos,8,9350.769999999951,5.623919043569883,0.7029898804462353,1.1323603687506993,0.625,2.7935126706920173,2.4078345648184536,0.8847652813211906,5,0.625,0.0,0.25,0.125,0.26153639068547957,1.0,GLD,,,,,STOP,
split_symbol_exit_reason,oos,1,305.0700000000222,0.16819578516427353,0.16819578516427353,0.16819578516427353,1.0,0.16819578516427353,1.9269325565366606,3.5579691025191034,0,0.0,0.0,0.0,0.0,1.0,1.0,QQQ,,,,,STOP,
split_symbol_exit_reason,train,3,31082.12000000028,4.667285417598134,1.5557618058660447,1.5417858037743077,1.0,4.667285417598134,4.009788529692151,0.5249200043881564,3,1.0,0.0,0.0,0.0,0.4213734973683643,1.0,GLD,,,,,MFE_GIVEBACK,
split_symbol_exit_reason,train,94,281334.70999999397,56.52919598058449,0.6013744253253669,0.17516654350441707,0.5106382978723404,1.95070152105297,3.105533639377462,1.0947592643980677,44,0.46808510638297873,0.3191489361702128,0.39361702127659576,0.09574468085106383,0.2561481500255593,0.4478648698782973,GLD,,,,,STOP,
split_symbol_exit_reason,train,1,16875.600000000748,0.9035398175454337,0.9035398175454337,0.9035398175454337,1.0,0.9035398175454337,2.159680539498786,0.19099215655430415,1,1.0,0.0,0.0,0.0,1.0,1.0,QQQ,,,,,MFE_GIVEBACK,
split_symbol_exit_reason,train,29,140593.5250000016,18.336126082747963,0.6322802097499298,0.7959788418464845,0.7586206896551724,3.5679592534931936,2.0347072240047015,0.5311601127217633,22,0.7586206896551724,0.06896551724137931,0.2413793103448276,0.0,0.10408326946563755,0.3790835416514495,QQQ,,,,,STOP,
split_month_symbol,oos,3,866.0399999999845,0.16814078219112494,0.056046927397041646,-1.0480649538359772,0.3333333333333333,1.0798975906676906,2.3008043554550075,1.0811703151321457,1,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0,1.0,GLD,,,,,,2025-11
split_month_symbol,oos,1,305.0700000000222,0.16819578516427353,0.16819578516427353,0.16819578516427353,1.0,0.16819578516427353,1.9269325565366606,3.5579691025191034,0,0.0,0.0,0.0,0.0,1.0,1.0,QQQ,,,,,,2025-12
