name,kind,delta_net,oos_net_return_pct,oos_total_trades,oos_avg_r,oos_win_rate,oos_dollar_profit_factor,oos_max_dd_pct
max_adx_28,perturbation,7.371180000000198,-17.603659999999667,21.0,-0.5116502850297437,0.19047619047619047,0.3484235683937135,23.010579670200656
max_adx_32,perturbation,2.0784900000003113,-22.896349999999554,24.0,-0.5783244318446258,0.16666666666666666,0.27997110620043825,26.36691999999949
max_adx_35,perturbation,1.2494099999999904,-23.725429999999875,27.0,-0.5322254069855125,0.18518518518518517,0.31036761027596205,27.15790000000014
max_adx_40,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
max_adx_45,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
ma50_slope_0.02,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
ma50_slope_0.04,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
ma50_slope_0.06,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
ma50_slope_0.08,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
ma50_slope_0.1,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
ma100_slope_0.01,perturbation,13.589649999999907,-11.385189999999959,19.0,-0.2951512407368038,0.2631578947368421,0.509932261156766,15.37428000000007
ma100_slope_0.02,perturbation,13.589649999999907,-11.385189999999959,19.0,-0.2951512407368038,0.2631578947368421,0.509932261156766,15.37428000000007
ma100_slope_0.04,perturbation,13.589649999999907,-11.385189999999959,19.0,-0.2951512407368038,0.2631578947368421,0.509932261156766,15.37428000000007
ma100_slope_0.06,perturbation,16.012059999999636,-8.962780000000231,18.0,-0.2547599025253792,0.2777777777777778,0.573910290297678,13.058110000000104
max_extension_1.0,perturbation,5.518000000000029,-19.456839999999836,22.0,-0.5683681728537977,0.18181818181818182,0.3043322185109165,20.715724999999743
max_extension_1.25,perturbation,-3.3730699999999345,-28.3479099999998,26.0,-0.703552907412663,0.11538461538461539,0.2021523491942693,28.3479099999998
max_extension_1.5,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
max_extension_1.75,perturbation,0.0,-24.974839999999865,28.0,-0.5494062048791356,0.17857142857142858,0.2970868955330754,28.3479099999998
volume_contract_0.8,perturbation,4.471659999999957,-20.503179999999908,15.0,-0.8500278895399351,0.06666666666666667,0.09333447717613479,20.503179999999908
volume_contract_0.9,perturbation,4.471659999999957,-20.503179999999908,15.0,-0.8500278895399351,0.06666666666666667,0.09333447717613479,20.503179999999908
volume_contract_1.0,perturbation,3.1322999999996384,-21.842540000000227,16.0,-0.8602209521786544,0.0625,0.08678963191951257,22.892946260970877
volume_contract_1.1,perturbation,0.9519400000000751,-24.02289999999979,18.0,-0.8815847487846666,0.05555555555555555,0.07747045439271845,25.044003059520836
di_min_adx_15,perturbation,19.224129999999757,-5.750710000000108,15.0,-0.09483356988048598,0.3333333333333333,0.6830897742665412,11.12597499999986
di_min_adx_18,perturbation,21.095559999999764,-3.879280000000101,14.0,-0.026994949976451497,0.35714285714285715,0.7642832577238916,9.367684999999822
di_min_adx_20,perturbation,19.104379999999903,-5.870459999999963,11.0,-0.2052142240850974,0.2727272727272727,0.5878001204905562,7.061449999999721
di_ma50_slope_0.02,perturbation,18.528220000000452,-6.446619999999413,16.0,-0.1600705757967155,0.3125,0.6567676973116408,11.788049999999464
