name,classification,holdout_net,holdout_net_delta,holdout_trades,holdout_trades_delta,holdout_avg_r_delta,holdout_pf_delta,holdout_qqq_trades_delta,holdout_qqq_excellent_delta,train_net_delta,train_trades_delta,train_avg_r_delta,train_pf_delta,train_dd_delta,train_qqq_excellent_delta
qqq_stop_limit_020,reject_or_neutral,10.997740000000295,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qqq_context_off,oos_boost_train_hurt,0.9297299999999522,-10.068010000000342,16.0,6.0,-0.5511648716411168,-2.2145876069775063,6.0,1.0,-4.220490000001348,1.0,-0.018605854364747043,-0.05009619764787843,0.00026525248070363716,0.0
qqq_context_neg050,oos_boost_train_hurt,0.9297299999999522,-10.068010000000342,16.0,6.0,-0.5511648716411168,-2.2145876069775063,6.0,1.0,-4.220490000001348,1.0,-0.018605854364747043,-0.05009619764787843,0.00026525248070363716,0.0
gld_t1_stop050,reject_or_neutral,11.146990000000239,0.14924999999994348,10.0,0.0,0.008430176679330215,0.030916559468550986,0.0,0.0,-12.003635000002333,1.0,-0.032441704370161695,-0.09862888186485819,-7.329857395887984e-05,0.0
gld_t1_080,reject_or_neutral,10.6597600000003,-0.3379799999999946,10.0,0.0,-0.01870073824328866,-0.07001124803470882,0.0,0.0,-16.4466050000008,6.0,-0.08980044127175157,-0.06233386647903583,-0.0003217967829467483,0.0
gld_mfe_trigger150,reject_or_neutral,5.9313900000003486,-5.066349999999947,10.0,0.0,-0.30931912749549595,-1.0256099638245466,0.0,0.0,-1.9122150000004012,1.0,-0.018738026689510412,0.006595220994565665,0.00043711734081419706,0.0
all_mfe_trigger150,reject_or_neutral,5.9313900000003486,-5.066349999999947,10.0,0.0,-0.30931912749549595,-1.0256099638245466,0.0,0.0,-1.9122150000004012,1.0,-0.018738026689510412,0.006595220994565665,0.00043711734081419706,0.0
gld_t1_090,reject_or_neutral,10.805190000000191,-0.1925500000001037,10.0,0.0,-0.010449596881285106,-0.041239013214869225,0.0,0.0,-18.715764999999948,3.0,-0.0763251950948054,-0.10413873157744558,0.00022532132554076156,0.0
all_profit_floor_1r,reject_or_neutral,4.80378000000045,-6.193959999999845,11.0,1.0,-0.4398701067351215,-1.2612187274312392,0.0,0.0,-2.7925949999997215,7.0,-0.04947460539826165,0.15752355333640544,-0.5091623844176496,0.0
gld_profit_floor_1r,reject_or_neutral,4.80378000000045,-6.193959999999845,11.0,1.0,-0.4398701067351215,-1.2612187274312392,0.0,0.0,-3.0778049999988752,7.0,-0.04984368632931491,0.1550963903020417,-0.5091623844176496,0.0
gld_t1_090_partial60,reject_or_neutral,11.31617000000026,0.3184299999999656,10.0,0.0,0.02039966067547405,0.06383666641723096,0.0,0.0,-23.458850000000325,3.0,-0.10649219307601288,-0.13679960824757886,0.0001429435221620423,0.0
gld_t1_090_partial70,reject_or_neutral,11.826370000000214,0.8286299999999187,10.0,0.0,0.050862174479613276,0.1686874873106663,0.0,0.0,-28.16370000000191,3.0,-0.13667904439577716,-0.17128630316283266,0.00014817785806897632,0.0
