option,name,split,cohort,stack,entry_model,daily_filter,note,signals,avg_r,total_r,profit_factor_r,hit1_rate,hit2_rate,stop_rate,avg_mfe_r,avg_mae_r,avg_stop_atr,avg_entry_delay_bars,avg_depth,orderly_rate
option1,pb30_confirm_quality,oos,ALL,pb30,confirm_market,,,26,0.15384615384615385,4.0,1.3636363636363635,0.5769230769230769,0.11538461538461539,0.4230769230769231,1.286814994139167,1.0837349917634944,0.2314837410893509,1.0,0.5825231374804135,1.0
option1,pb30_confirm_quality,oos,QQQ,pb30,confirm_market,,,18,0.1111111111111111,2.0,1.25,0.5555555555555556,0.1111111111111111,0.4444444444444444,1.2437439666158607,1.2213310467411476,0.22584125908488023,1.0,0.5530147776532832,1.0
option1,pb30_confirm_quality,oos,GLD,pb30,confirm_market,,,8,0.25,2.0,1.6666666666666667,0.625,0.125,0.375,1.3837248060666059,0.7741438680637744,0.24417932559940986,1.0,0.6489169470914569,1.0
option2,daily_sma20_confirm,train,ALL,current,confirm_market,sma20,,28,0.21428571428571427,6.0,1.5454545454545454,0.6071428571428571,0.03571428571428571,0.39285714285714285,1.1058921085571645,1.0472631183710313,0.3174499694552272,1.0,0.5305625743730137,0.7857142857142857
option2,daily_sma20_confirm,train,QQQ,current,confirm_market,sma20,,15,0.4666666666666667,7.0,2.75,0.7333333333333333,0.0,0.26666666666666666,1.1128765332397275,0.8463576129373023,0.31823095399130963,1.0,0.5516575929593064,1.0
option2,daily_sma20_confirm,train,GLD,current,confirm_market,sma20,,13,-0.07692307692307693,-1.0,0.8571428571428571,0.46153846153846156,0.07692307692307693,0.5384615384615384,1.0978331570003612,1.2790771631022575,0.3165488334520552,1.0,0.5062221683119068,0.5384615384615384
option2,daily_sma20_confirm,oos,ALL,current,confirm_market,sma20,,6,0.0,0.0,1.0,0.5,0.0,0.5,0.8081968812166257,0.7809454044601529,0.3144237870675149,1.0,0.5393992108525744,1.0
option2,daily_sma20_confirm,oos,QQQ,current,confirm_market,sma20,,6,0.0,0.0,1.0,0.5,0.0,0.5,0.8081968812166257,0.7809454044601529,0.3144237870675149,1.0,0.5393992108525744,1.0
option2,daily_sma20_confirm,oos,GLD,current,confirm_market,sma20,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
option2,daily_sma50_confirm,train,ALL,current,confirm_market,sma50,,58,0.20766199441280808,12.04439567594287,1.538805249561817,0.5862068965517241,0.05172413793103448,0.3793103448275862,1.087933253152633,0.8537074781644188,0.32037289938199964,1.0,0.6191764452226726,0.8448275862068966
option2,daily_sma50_confirm,train,QQQ,current,confirm_market,sma50,,28,0.2857142857142857,8.0,1.8,0.6428571428571429,0.03571428571428571,0.35714285714285715,1.0573205922540527,0.7916025608886389,0.29519798716599915,1.0,0.5896131592923647,1.0
option2,daily_sma50_confirm,train,GLD,current,confirm_market,sma50,,30,0.13481318919809565,4.044395675942869,1.3273781958755364,0.5333333333333333,0.06666666666666667,0.4,1.1165050699913075,0.9116720676218133,0.3438694841169336,1.0,0.6467688454242932,0.7
option2,daily_sma50_confirm,oos,ALL,current,confirm_market,sma50,,5,-0.2,-1.0,0.6666666666666666,0.4,0.2,0.6,1.3972849938818306,1.1953553909530537,0.2775001077710797,1.0,0.7310919160118063,0.2
option2,daily_sma50_confirm,oos,QQQ,current,confirm_market,sma50,,1,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0875613745726594,1.4421873459030077,0.49412883651723094,1.0,0.6410256410256437,1.0
option2,daily_sma50_confirm,oos,GLD,current,confirm_market,sma50,,4,0.0,0.0,1.0,0.5,0.25,0.5,1.7247158987091238,1.1336474022155651,0.22334292558454188,1.0,0.753608484758347,0.0
