name,category,is_expected_total_r,is_net_profit,is_trades_per_month,is_profit_factor,is_max_drawdown_pct,oos_expected_total_r,oos_net_profit,oos_trades_per_month,oos_profit_factor,oos_max_drawdown_pct,is_guardrail,oos_floor,strict_joint_uplift,preliminary_score
combo_balanced__geom125__selection30__flow8,balanced_geometry_combination,250.30654204841989,31481.11,56.292080965909086,1.8811995647900968,0.10774366548236533,55.22765579505885,2662.2500000000055,54.280208333333334,3.518232295046307,0.01890619016259268,True,True,False,1.0218167429258531
exit__flow_hold_8,exit_logic,256.93533728733786,31224.0,56.07590553977272,1.8906063619140852,0.11373067977859715,52.28760098895056,2697.700000000007,56.309375,3.5009734299964923,0.01889447597278253,True,True,False,1.0171078427096245
reclaim__or_avwap__cpr_0p65,entry_expansion,280.30628630019214,32295.43,68.3114346590909,1.7417453648135106,0.13015054921080926,46.83033161908648,2777.0700000000043,60.36770833333333,3.3139936006399466,0.014733157020310006,False,True,False,1.016287913918402
selection__long_count_30,selection_expansion,253.55942595571517,31768.190000000006,57.41619318181818,1.872678870216166,0.11966696439147402,53.42150129379199,2666.7400000000066,54.7875,3.3748897933012265,0.01982077312819845,True,True,False,1.013863009089928
reclaim__or_avwap__default,entry_expansion,266.8109894508518,32648.99,69.21937144886363,1.737824780063787,0.12630257616228405,46.83033161908648,2768.380000000004,60.36770833333333,3.292996057383306,0.014744017691803392,False,True,False,1.0132447798042172
reclaim__or_avwap__cpr_0p55,entry_expansion,266.8109894508518,32648.99,69.21937144886363,1.737824780063787,0.12630257616228405,46.83033161908648,2768.380000000004,60.36770833333333,3.292996057383306,0.014744017691803392,False,True,False,1.0132447798042172
reclaim__or_avwap__cpr_0p6,entry_expansion,266.8109894508518,32648.99,69.21937144886363,1.737824780063787,0.12630257616228405,46.83033161908648,2768.380000000004,60.36770833333333,3.292996057383306,0.014744017691803392,False,True,False,1.0132447798042172
geometry__entry_range_cap_1p15,signal_geometry,242.1573505395916,30088.829999999994,54.47620738636363,1.899836175000269,0.11013778283402847,55.15992233143081,2633.2900000000063,53.77291666666667,3.667757425943197,0.01968108473322251,True,True,False,1.013069799954507
geometry__entry_range_cap_1p25,signal_geometry,258.12061040095216,31197.35,54.865323153409086,1.9126608811143597,0.11450989057807837,53.72723867325986,2589.880000000006,53.77291666666667,3.546037238748757,0.019736384488093145,True,True,False,1.0125707969483346
combo__signal_geometry__score_discrimination,orthogonal_combination,243.6777587898256,30510.549999999992,54.735617897727266,1.9052248720810654,0.1083561907703188,54.50206951206158,2617.260000000006,53.265625,3.6802732234841224,0.01968037690965932,True,True,False,1.0106938569520225
